Rank,Year,Nb of Crashes
1,1941,"2, 947"
2,1940,"2, 146"
3,1942,"1, 466"
4,1944,955
5,1943,830
6,1945,739
7,1939,561
8,1951,492
9,1950,427
10,1946,425
11,1978,408
12,1952,404
13,1948,392
14,1979,382
15,1980,379
16,1972,376
17,1973,372
18,1977,372
19,1947,371
20,1969,364
21,1967,353
22,1949,351
23,1987,341
24,1968,339
25,1953,337
26,1989,337
27,1938,335
28,1975,332
29,1970,330
30,1981,320
31,1974,317
32,1970,313
33,1982,309
34,1976,307
35,1988,306
36,1936,301
37,1993,299
38,1985,296
39,1995,295
40,1965,294
41,1954,290
42,1983,289
43,1992,289
44,1984,284
45,1990,282
46,1966,281
47,1929,280
48,1955,280
49,1986,276
50,1964,273
51,1996,273
52,1958,272
53,1991,269
54,1957,264
55,1961,262
56,1962,262
57,1930,257
58,1937,257
59,1997,252
60,1998,250
61,1994,249
62,1956,244
63,1959,242
64,1935,241
65,1960,234
66,1999,234
67,2000,231
68,1928,230
69,2002,230
70,2001,229
71,1931,226
72,2003,225
73,1933,216
74,2005,212
75,2006,212
76,2008,212
77,1963,211
78,1932,210
79,1934,210
80,2004,195
81,2007,195
82,2010,188
83,2009,182
84,2011,180
85,2012,178
86,2015,175
87,2013,173
88,2014,167
89,2016,152
90,2019,145
91,1921,138
92,1927,133
93,2018,132
94,2017,129
95,1920,126
96,2020,113
97,2021,113
98,1922,106
99,1926,103
100,2022,99
