Year,Fatal Crashes,,,
2020,35766,,,
2019,33487,,,
2018,33919,,,
2017,34560,,,
2016,34748,,,
2015,32538,,,
2014,30056,,,
2013,30202,,,
2012,31006,,,
2011,29867,,,
2010,30296,,,
2009,30862,,,
2008,34172,,,
2007,37435,,,
2006,38648,,,
2005,39252,,,
2004,38444,,,
2003,38477,,,
2002,38491,,,
2001,37862,,,
2000,37526,,,
1999,37140,,,
1998,37107,,,
1997,37324,,,
1996,37494,,,
1995,37241,,,
1994,36254,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
